11.6507	4.4556	90.0000
22.5991	4.4556	69.2473
27.6895	0.1308	99.4910
34.9470	1.6509	90.7276
39.1343	0.2622	74.6848
45.0311	1.4508	68.6749
49.0869	0.6558	94.6413
51.0686	1.0809	-10.4827
51.6865	0.0000	-5.3675
52.2541	0.0000	-5.8551
55.1911	0.0000	90.0000
55.8352	0.0000	4.2832
56.2723	0.0000	3.4827
56.7199	0.0000	3.1572
57.1564	0.0000	3.0144
57.5824	0.0000	3.0592
58.0193	0.0000	3.2887
61.2395	0.0000	97.5855
65.4446	1.4742	68.5067
68.7422	0.0000	99.5211
71.1769	1.6713	2.3868
71.5722	0.0000	1.0799
75.3929	0.5883	90.0000
76.2925	0.1971	4.0468
76.8394	0.0000	3.9985
80.7474	1.1790	72.7996
91.9158	7.1498	-86.8057
94.7238	0.5895	-55.8675
99.8562	0.0000	-161.1674
100.3084	0.0000	2.9405
100.7452	0.0000	1.1905
101.1819	0.0000	1.1748
104.2395	0.0000	92.2356
117.5415	9.3510	81.6801
121.3844	1.1790	71.0819
129.0272	4.0293	90.0000
138.6676	5.8968	90.0000
145.4379	3.4542	83.9723
148.5867	0.0000	96.0861
153.6047	2.0637	-76.2771
162.8838	6.0867	66.4448
170.8060	3.4677	82.1008
176.2252	2.3661	81.3296
186.5689	6.5925	-84.9401
188.5222	1.2771	-3.1525
194.2833	0.3049	-153.3261
197.4619	0.0000	-93.5157
197.9214	0.0000	-3.5253
200.9912	0.0000	90.0000
201.4111	0.0000	3.5435
209.2302	6.1599	10.5737
209.6984	0.0000	2.2074
212.1245	0.0000	0.4135
212.6729	0.0000	0.4131
215.9023	0.0000	91.5358
224.5539	5.3298	77.1870
232.2056	4.1769	82.6626
239.9791	4.9842	1.2540
245.8477	4.1418	27.0191
253.2888	4.0628	90.0000
258.5050	1.8387	92.8227
264.5636	1.5399	-122.2565
269.0622	1.7406	67.9623
277.2464	4.5216	90.0000
289.1574	8.0748	77.0571
293.4285	1.2429	80.7250
296.8597	0.0000	98.9219
300.7918	0.8703	-76.2704
313.3113	8.9433	-65.4489
319.1037	0.0000	-176.5590
320.7098	0.0000	38.2282
323.8862	0.0000	90.6327
330.1283	0.7533	-161.3260
330.8803	0.0000	4.8769
331.6665	0.0000	4.4911
332.4367	0.0000	4.7643
336.0069	0.0000	102.7783
11.6364	4.4238	90.0000
23.1454	4.5192	80.4502
27.8884	0.0000	99.5185
35.0220	1.7514	-85.5676
39.5754	0.1962	85.6155
45.6573	1.1064	-85.2596
46.6556	0.1962	-3.4677
